5.0,21.0,4.0,1.0,84.0,4.0,6.0,24.0,2.0,44.0,1.0,1.0,34.0,9.0,2.0,2.0,70.0
6.0,10.0,1.0,1.0,101.0,8.0,9.0,10.0,5.0,45.0,5.0,5.0,54.0,5.0,3.0,2.0,87.0
2.0,29.0,2.0,2.0,94.0,7.0,7.0,31.0,4.0,58.0,6.0,5.0,73.0,7.0,5.0,4.0,92.0
28.0,13.0,1.0,1.0,101.0,8.0,9.0,13.0,1.0,26.0,2.0,2.0,52.0,4.0,2.0,1.0,81.0
12.0,32.0,1.0,1.0,92.0,5.0,7.0,33.0,2.0,48.0,1.0,1.0,63.0,13.0,5.0,4.0,95.0
8.0,26.0,1.0,1.0,93.0,5.0,7.0,27.0,4.0,59.0,5.0,5.0,90.0,8.0,8.0,3.0,101.0
8.0,18.0,1.0,1.0,84.0,7.0,7.0,19.0,2.0,45.0,1.0,1.0,29.0,3.0,3.0,3.0,41.0
3.0,25.0,1.0,1.0,86.0,5.0,7.0,28.0,2.0,27.0,2.0,2.0,69.0,8.0,2.0,4.0,91.0
5.0,20.0,1.0,1.0,96.0,5.0,7.0,20.0,4.0,27.0,7.0,7.0,32.0,6.0,4.0,2.0,63.0
6.0,17.0,1.0,1.0,101.0,8.0,9.0,17.0,4.0,32.0,1.0,1.0,16.0,5.0,3.0,1.0,68.0
26.0,13.0,2.0,1.0,61.0,4.0,6.0,16.0,1.0,21.0,2.0,2.0,85.0,6.0,3.0,3.0,89.0
3.0,24.0,1.0,1.0,101.0,7.0,9.0,29.0,5.0,40.0,3.0,3.0,19.0,4.0,6.0,2.0,68.0
4.0,35.0,1.0,1.0,98.0,7.0,7.0,37.0,3.0,37.0,12.0,11.0,72.0,11.0,3.0,4.0,83.0
20.0,15.0,1.0,1.0,88.0,5.0,7.0,16.0,1.0,34.0,3.0,2.0,63.0,4.0,4.0,2.0,87.0
5.0,17.0,5.0,3.0,80.0,7.0,6.0,21.0,5.0,59.0,5.0,5.0,26.0,4.0,5.0,2.0,71.0
